Distance_Miles,Weight_kg,Transit_Days,Fuel_Index,Handling_Score,Carrier,Shipping_Cost_USD
846.9,321.52,15,0.93,8,FedEx,983.0
622.7,406.54,8,1.14,1,UPS,847.0
272.0,386.06,11,1.16,1,USPS,934.0
262.2,149.5,2,1.06,10,USPS,373.0
885.6,166.54,10,1.06,5,USPS,705.0
567.3,179.79,2,1.01,1,FedEx,591.0
722.5,442.91,5,0.91,9,UPS,738.0
409.8,457.74,9,0.95,7,UPS,659.0
879.1,52.5,2,0.91,3,USPS,545.0
805.9,401.85,11,1.09,10,USPS,1007.0
928.7,77.42,1,1.01,6,FedEx,921.0
189.6,301.23,2,0.98,4,USPS,648.0
624.0,171.28,9,1.03,2,FedEx,790.0
100.6,332.69,2,0.92,4,DHL,583.0
879.7,425.57,15,1.13,1,USPS,959.0
943.8,67.77,9,0.98,6,UPS,700.0
368.5,83.96,4,0.97,6,DHL,354.0
281.4,279.91,6,1.11,0,DHL,735.0
523.3,217.14,1,1.14,2,UPS,541.0
127.2,452.04,6,0.98,7,FedEx,703.0
410.8,120.73,10,1.1,8,UPS,704.0
974.6,122.76,11,1.0,9,UPS,792.0
36.3,127.98,4,0.83,1,DHL,316.0
194.8,174.81,6,1.17,2,USPS,605.0
292.1,451.71,14,1.16,0,USPS,924.0
351.0,179.5,10,1.18,10,DHL,744.0
668.8,47.35,5,0.88,5,DHL,510.0
878.4,341.96,2,1.02,7,FedEx,761.0
761.0,160.87,1,0.83,6,FedEx,673.0
599.3,9.8,10,1.18,0,DHL,444.0
947.2,262.34,1,0.99,3,UPS,855.0
339.2,154.11,11,1.2,5,UPS,674.0
152.7,31.16,4,1.06,6,DHL,198.0
523.3,439.21,11,0.82,1,USPS,
728.2,390.28,5,0.83,5,DHL,606.0
499.3,429.31,6,0.84,7,FedEx,836.0
911.2,148.18,12,1.18,9,DHL,917.0
816.2,480.49,9,1.01,1,USPS,1004.0
871.4,332.69,1,0.89,6,DHL,864.0
686.3,88.66,4,0.91,2,FedEx,611.0
431.7,347.3,6,1.15,3,DHL,795.0
968.3,132.71,7,0.82,8,FedEx,737.0
866.2,156.98,10,1.02,2,DHL,759.0
259.5,412.02,2,1.12,5,DHL,755.0
688.6,154.51,3,1.02,8,UPS,523.0
349.9,188.02,15,0.86,1,FedEx,745.0
26.8,30.93,9,0.86,10,FedEx,389.0
276.3,220.06,8,1.11,9,UPS,603.0
875.5,128.76,15,1.04,9,DHL,782.0
951.8,423.01,9,1.16,3,UPS,1072.0
125.7,84.9,4,1.08,8,UPS,287.0
437.9,24.39,12,1.17,10,USPS,604.0
319.4,424.8,8,1.07,10,DHL,991.0
368.5,261.22,11,0.95,0,UPS,732.0
130.3,165.1,6,1.19,9,DHL,586.0
884.5,135.97,4,1.01,2,USPS,647.0
