rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
1626,9,636,11,1006,404
1959,9,73,11,112,115
1360,1,352,5,702,231
1794,2,948,7,299,537
1630,5,884,5,2733,554
1595,4,928,7,1891,556
1544,10,361,10,547,257
621,9,167,12,1911,158
966,7,598,11,940,360
1738,6,500,12,689,327
830,7,667,11,1253,397
1982,1,864,5,2190,536
587,1,472,10,619,267
1896,8,234,5,1136,211
1623,2,926,5,824,531
1371,10,322,7,2770,276
630,9,624,4,1087,369
1832,7,928,8,902,550
1269,6,868,9,2682,537
843,1,822,12,2449,486
1937,1,949,11,626,546
1305,2,475,5,1765,314
885,6,97,4,1238,110
1715,6,892,5,559,519
1455,2,312,10,2979,262
776,1,689,7,2652,422
1684,10,444,8,1031,312
959,5,691,10,2086,425
1837,5,144,6,424,144
521,2,59,5,678,61
752,6,441,10,2908,312
1247,9,349,8,2998,289
1356,2,356,4,1637,254
974,10,655,4,2649,428
1582,2,356,12,2100,271
1010,3,658,8,2481,414
1999,7,254,4,2431,248
1199,6,118,10,574,117
1475,8,834,12,1177,500
689,8,808,4,1581,471
1457,6,542,7,1702,359
1186,10,99,6,1543,135
1457,3,305,8,731,216
1062,3,121,10,802,113
1767,1,822,11,2556,516
1331,7,598,5,1081,373
1654,5,186,10,1427,180
1146,4,352,4,2058,258
520,10,669,10,658,382
1340,4,110,11,321,109
666,4,767,5,1656,443
1797,6,638,12,2305,430
887,8,613,4,447,356
1100,8,410,9,1282,279
815,5,37,4,988,71
513,6,946,6,1021,519
741,4,971,9,1358,542
1276,9,546,6,2809,384
1869,8,67,11,504,115
1064,10,507,8,1380,332
1397,10,306,5,776,229
1863,1,143,7,688,142
591,2,340,12,1720,225
1890,9,258,7,2705,256
1455,8,559,11,2626,391
1978,3,911,8,2634,572
1951,8,950,4,1694,582
1008,1,84,10,665,87
1275,10,663,6,2671,442
534,4,843,11,803,461
705,3,177,6,2968,174
1604,6,780,4,957,468
1911,7,512,8,1384,354
1525,4,894,5,684,513
1521,7,364,7,2833,297
1913,9,234,4,331,197
1065,2,673,12,2417,420
1629,3,540,9,1345,351
2000,5,155,11,151,150
1202,3,969,7,2263,571
901,8,250,12,637,180
1229,10,893,5,640,515
661,8,902,12,1142,509
701,8,353,8,914,231
1495,9,758,9,1515,471
769,4,44,6,2938,110
1315,5,711,7,1752,439
1794,5,10,9,2765,123
955,8,162,10,518,135
1985,7,438,4,2456,340
1775,9,954,10,963,567
1516,8,517,4,285,324
795,2,135,8,360,101
1219,10,500,9,1651,338
837,4,491,5,1396,305
1378,6,354,12,2307,276
1576,2,921,9,861,528
1291,7,747,10,323,432
716,3,230,11,1379,169
1263,3,924,4,279,510
687,2,928,11,2167,531
879,8,732,7,1747,442
992,6,34,11,731,72
1564,1,537,9,1636,349
1680,1,191,12,2205,191
514,7,508,7,2870,340
564,8,850,5,2063,498
1020,5,650,5,714,378
