Category,Price,Rating,Stock,Discount
,5548.0,1.8703220155006277,,0.0
,3045.0,4.757798057831803,,38.0
,4004.0,,In Stock,0.0
,4808.0,1.492084885301209,,33.0
,1817.0,,Out of Stock,23.0
,3522.0,,,
C,667.0,3.6683407484908157,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
,463.0,4.626187280896929,,3.0
A,1151.0,2.947838084766442,,
A,3772.0,4.890749963096654,In Stock,45.0
,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459685,,29.0
B,8530.0,,,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.4790635118573126,In Stock,28.0
,,4.097463656949772,,40.0
D,2066.0,,,30.0
B,1784.0,,,12.0
,5589.0,,,39.0
C,,,Out of Stock,25.0
,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
,7011.0,,In Stock,38.0
,8418.0,,,
,3405.0,,In Stock,48.0
D,1732.0,,,
B,5850.0,2.2643931005643094,Out of Stock,43.0
,,2.357527106379227,,22.0
,704.0,,In Stock,47.0
,2343.0,1.8632245113185228,Out of Stock,17.0
,,,,
,1910.0,3.8494948825094535,Out of Stock,14.0
,9307.0,,Out of Stock,21.0
,2331.0,3.95225743506134,,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644622,Out of Stock,43.0
,5607.0,4.789502194485456,,15.0
,4730.0,,In Stock,30.0
,9230.0,,,8.0
,1112.0,,In Stock,38.0
,4390.0,,In Stock,34.0
,8484.0,,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
,4589.0,,Out of Stock,47.0
A,2260.0,,In Stock,37.0
,1759.0,4.45534399355245,,37.0
,7190.0,1.9243054921681804,In Stock,
,8675.0,2.778260648243727,Out of Stock,
,5412.0,,Out of Stock,24.0
A,6304.0,,,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,,In Stock,17.0
B,3445.0,,In Stock,3.0
,8421.0,1.338253810015713,In Stock,2.0
,3236.0,4.951183214408314,Out of Stock,2.0
,1624.0,,Out of Stock,34.0
,806.0,4.170806833653488,,8.0
,9888.0,,,29.0
